"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.css", "CSS", 0, 14, 0, 3, 17
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.js", "JavaScript", 45, 0, 11, 9, 65
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.test.js", "JavaScript", 7, 0, 0, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/GUI/StartAudioButton/AudioButton.css", "CSS", 0, 12, 0, 1, 13
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/GUI/StartAudioButton/StartAudioButton.js", "JavaScript", 18, 0, 5, 4, 27
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/MIDI/useMIDIAccess.js", "JavaScript", 70, 0, 4, 14, 88
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/MIDI/usePuredata.js", "JavaScript", 18, 0, 4, 3, 25
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/Sequencing/useRepeater.js", "JavaScript", 24, 0, 1, 7, 32
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useInputOnStore.js", "JavaScript", 15, 0, 1, 4, 20
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/usePadStore.js", "JavaScript", 104, 0, 2, 8, 114
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadInputs.js", "JavaScript", 97, 0, 7, 15, 119
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadLights.js", "JavaScript", 45, 0, 2, 8, 55
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadModel.js", "JavaScript", 112, 0, 10, 18, 140
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useStoreOnButtons.js", "JavaScript", 21, 0, 1, 3, 25
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/SmartPad.js", "JavaScript", 38, 0, 18, 22, 78
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/index.css", "CSS", 0, 7, 0, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/index.js", "JavaScript", 12, 0, 3, 3, 18
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 639, 33, 73, 129, 874